epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1991.78,0.54788,0.37414,0.0012,0.82952,0.83914,0.86688,0.73949,0.56442,0.48757,0.00293,0.000703961,0.000703961,0.000703961
43,2039.82,0.55396,0.38731,0.0012,0.82389,0.78528,0.85799,0.73112,0.5681,0.47608,0.00291,0.000686277,0.000686277,0.000686277
44,2088.04,0.52738,0.38347,0.00124,0.87884,0.74817,0.83685,0.70802,0.56504,0.53965,0.0028,0.000668593,0.000668593,0.000668593
45,2135.01,0.55439,0.38205,0.00134,0.82819,0.78659,0.84577,0.71858,0.59747,0.51955,0.00299,0.000650909,0.000650909,0.000650909
46,2182.08,0.53982,0.37099,0.00116,0.81576,0.79485,0.84526,0.72872,0.55506,0.51041,0.00291,0.000633226,0.000633226,0.000633226
47,2229.49,0.5281,0.37016,0.00113,0.78789,0.82891,0.84843,0.73033,0.5386,0.474,0.00264,0.000615542,0.000615542,0.000615542
48,2273.87,0.50204,0.34466,0.00112,0.76382,0.86746,0.86182,0.73463,0.57983,0.48519,0.00277,0.000597858,0.000597858,0.000597858
49,2321.57,0.52643,0.34434,0.00118,0.76714,0.82823,0.84891,0.73592,0.53119,0.48116,0.00255,0.000580174,0.000580174,0.000580174
50,2368.64,0.52324,0.34804,0.00115,0.79646,0.87175,0.8504,0.72529,0.54548,0.46823,0.00271,0.00056249,0.00056249,0.00056249
51,2416.39,0.50876,0.33929,0.00118,0.86988,0.78032,0.84424,0.71973,0.54206,0.48669,0.00268,0.000544806,0.000544806,0.000544806
52,2464.84,0.511,0.33958,0.00107,0.82301,0.82982,0.8532,0.72808,0.53059,0.45777,0.00257,0.000527122,0.000527122,0.000527122
53,2511.84,0.50535,0.33319,0.00109,0.83129,0.787,0.84084,0.7199,0.52994,0.46868,0.0026,0.000509438,0.000509438,0.000509438
54,2559.13,0.48986,0.32957,0.00104,0.82102,0.81234,0.85229,0.7299,0.55164,0.46422,0.00271,0.000491755,0.000491755,0.000491755
